time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5
7.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
7.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
7.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
7.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
8.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
8.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
8.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
8.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
8.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
9.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
9.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
9.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
9.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
9.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
10.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
10.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
10.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
10.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
10.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
