beta,gamma,peak_I,peak_time,final_R,final_S
0.15,0.15,10.0,0.0,106.11665808417861,890.3265317492146
0.2,0.1,158.4402858808921,44.0,775.6925083444975,209.83466828996026
0.25,0.1,237.5036072387938,33.0,888.4581908150507,107.39992371886187
0.3,0.1,303.7882406765716,26.5,939.3180655575663,59.1307318380345
0.35,0.1,359.20193529096184,22.5,965.5263196452695,33.72916851384819
0.4,0.08,480.00986930251844,19.0,991.579626618678,6.957416224227883
0.45,0.08,516.947043749155,17.0,995.1936633402382,3.6683570401992416
0.5,0.12,419.8960764262813,15.5,983.501125881616,16.44111520309695
0.55,0.12,451.84373853652335,14.0,989.3339014296198,10.625549745948618
