model,philosophers,seed,deadlock,deadlock_time,final_eaters,final_hungry,events
classic,6,15,true,7.802472574895053,0.0,6.0,18
classic,6,16,true,3.4601074728684615,0.0,6.0,9
arbiter,6,1,false,,0.0,5.0,95
arbiter,6,2,false,,1.0,4.0,90
arbiter,6,3,false,,1.0,4.0,81
arbiter,6,4,false,,1.0,4.0,90
arbiter,6,5,false,,1.0,4.0,108
arbiter,6,6,false,,0.0,5.0,74
arbiter,6,7,false,,0.0,5.0,83
arbiter,6,8,false,,0.0,5.0,68
arbiter,6,9,false,,0.0,4.0,121
arbiter,6,10,false,,1.0,4.0,90
arbiter,6,11,false,,1.0,4.0,105
arbiter,6,12,false,,1.0,4.0,114
arbiter,6,13,false,,0.0,5.0,95
arbiter,6,14,false,,0.0,4.0,109
arbiter,6,15,false,,1.0,4.0,102
arbiter,6,16,false,,0.0,4.0,82
classic,7,1,true,7.829216139221681,0.0,7.0,28
classic,7,2,true,11.276499001470182,0.0,7.0,28
classic,7,3,true,5.678243988837948,0.0,7.0,16
classic,7,4,true,8.311320729207521,0.0,7.0,25
classic,7,5,true,8.9624695007537,0.0,7.0,16
classic,7,6,true,3.214267059665743,0.0,7.0,13
classic,7,7,true,1.0095289339378284,0.0,7.0,7
classic,7,8,true,3.614697818752759,0.0,7.0,16
classic,7,9,true,3.5907726965151974,0.0,7.0,13
classic,7,10,true,10.809764854545639,0.0,7.0,25
classic,7,11,true,2.171962288187429,0.0,7.0,13
classic,7,12,true,3.7581908707633853,0.0,7.0,10
classic,7,13,true,2.8111925673925784,0.0,7.0,10
classic,7,14,true,5.975468860905474,0.0,7.0,25
classic,7,15,true,13.260393619107662,0.0,7.0,34
classic,7,16,true,3.705626945480696,0.0,7.0,10
arbiter,7,1,false,,1.0,4.0,93
arbiter,7,2,false,,1.0,5.0,103
arbiter,7,3,false,,0.0,5.0,83
arbiter,7,4,false,,0.0,6.0,108
arbiter,7,5,false,,1.0,5.0,97
arbiter,7,6,false,,0.0,6.0,93
arbiter,7,7,false,,1.0,4.0,90
arbiter,7,8,false,,0.0,6.0,78
arbiter,7,9,false,,1.0,5.0,118
arbiter,7,10,false,,0.0,6.0,96
arbiter,7,11,false,,1.0,5.0,103
arbiter,7,12,false,,0.0,5.0,110
arbiter,7,13,false,,1.0,5.0,91
arbiter,7,14,false,,1.0,5.0,109
arbiter,7,15,false,,1.0,5.0,88
arbiter,7,16,false,,1.0,4.0,105
