time,S,I,R
11.191522171028817,833,119,48
11.21623887024638,832,120,48
11.217825732803123,831,121,48
11.224330039521682,830,122,48
11.262985016999194,829,123,48
11.315092664816826,828,124,48
11.331923835414951,827,125,48
11.336962681814866,826,126,48
11.407760836406519,825,127,48
11.430854676738749,824,128,48
11.441307981985256,823,129,48
11.483489229569729,822,130,48
11.489648757020058,822,129,49
11.532975992879098,821,130,49
11.534165186291515,821,129,50
11.537122986145079,820,130,50
11.574610631072112,820,129,51
11.588625968629042,819,130,51
11.616515918145085,819,129,52
11.630077856198065,818,130,52
11.655584629675825,818,129,53
11.702707438183827,817,130,53
11.730560146224462,817,129,54
11.743609554823218,816,130,54
11.764795640577853,816,129,55
11.765915071639448,816,128,56
11.77672883601395,816,127,57
11.814751261965169,816,126,58
11.843010284775549,816,125,59
11.857805786466972,816,124,60
11.914479605494725,815,125,60
11.952568993944187,814,126,60
11.973941747208418,813,127,60
11.978269175447444,812,128,60
11.99362718393867,811,129,60
11.99698444383546,810,130,60
12.003004047317466,810,129,61
12.018282256535707,810,128,62
12.019033029484534,809,129,62
12.019296923555586,808,130,62
12.051010217378163,807,131,62
12.055172563669647,806,132,62
12.057039012402209,805,133,62
12.067594474663945,805,132,63
12.068983406128968,804,133,63
12.089216461591624,804,132,64
12.153547375472245,804,131,65
12.166467670871356,803,132,65
12.176767570241688,802,133,65
12.177959295622676,801,134,65
12.184865519961807,800,135,65
12.194800402000007,800,134,66
12.21385289064227,800,133,67
12.222517511625458,800,132,68
12.241253459837047,800,131,69
12.252347505446181,799,132,69
12.272838300431165,798,133,69
12.291402490336145,797,134,69
12.295970028364223,796,135,69
12.298051071133594,795,136,69
12.302384289178296,795,135,70
12.347595234547766,794,136,70
12.373593279928954,794,135,71
12.402518783689306,793,136,71
12.403723922780276,793,135,72
12.524920062855262,793,134,73
12.555660355772803,792,135,73
12.584208812906354,791,136,73
12.58784424238127,790,137,73
12.58999626970723,789,138,73
12.608373114474915,788,139,73
12.612942128989275,787,140,73
12.615015394277101,786,141,73
12.615802528050928,786,140,74
12.658036577803356,785,141,74
12.70382385794002,784,142,74
12.704605046639704,783,143,74
12.724941204756608,782,144,74
12.725597681768326,781,145,74
12.73505523362552,780,146,74
12.740813405771636,779,147,74
12.758580606809605,778,148,74
12.763872363937015,778,147,75
12.76554050416541,777,148,75
12.80242774557514,776,149,75
12.810915409438634,775,150,75
12.85227419096226,774,151,75
12.867984997379082,773,152,75
12.882509197942765,772,153,75
12.906147140637547,771,154,75
12.908827657611635,771,153,76
12.913342874893333,770,154,76
12.923511151251956,770,153,77
12.974727778877002,770,152,78
13.03015892322764,770,151,79
13.031508290584744,770,150,80
13.059071060451561,769,151,80
13.065468910023418,769,150,81
13.074318279912394,769,149,82
13.076750862978699,768,150,82
13.089315884185007,767,151,82
13.11203342428145,766,152,82
13.171395332338802,765,153,82
13.191830113276113,764,154,82
13.21119336467853,764,153,83
13.22832807472157,763,154,83
13.240071467411335,763,153,84
13.247925196469602,762,154,84
13.261944890129083,761,155,84
13.353122835208602,760,156,84
13.364545769683899,760,155,85
13.380763474007669,759,156,85
13.382370078142799,758,157,85
13.386782497193952,758,156,86
13.444586210596169,757,157,86
13.470743361265713,756,158,86
13.47913388696838,755,159,86
13.54274314575165,754,160,86
