repairers,sim_mean_crash_time,sim_std_crash_time,analytic_crash_time,mean_utilization,mean_queue_length
1,8731.21343282623,8115.450612758725,12339.99999999653,0.10083652251288584,0.012077115304913804
2,46218.5612937195,34553.726876303816,46539.99999996686,0.04999947142665474,0.00023613968049942754
3,70321.34264872572,68914.64748091518,68639.99999994032,0.03339459074279465,0.0
