repairers,sim_mean_crash_time,sim_std_crash_time,analytic_crash_time,mean_utilization,mean_queue_length
1,11037.925291787551,8763.904156663819,12339.99999999653,0.09799500955826772,0.01015099909506167
2,44822.12942610898,44614.954055271795,46539.99999996686,0.05249489429987478,0.0007390656563761444
3,65858.89397319629,49755.9560868506,68639.99999994032,0.033315669582037376,0.0
4,75357.3876518427,61372.746285786,68639.99999994032,0.02497838093819085,0.0
