servers,sim_wait_probability,analytic_wait_probability,sim_avg_waiting,analytic_avg_waiting,sim_avg_system,analytic_avg_system
1,0.908,0.9,10.532612863801125,18.000000000000007,12.46836921568076,20.000000000000007
2,0.239,0.2793103448275862,0.4011973178166182,0.5078369905956113,2.3913399130338875,2.507836990595611
3,0.069,0.07002881844380406,0.0697130301840785,0.0666941128036229,1.9365682920709937,2.066694112803623
4,0.024,0.014328768918299156,0.011257804247874325,0.009244367044063971,2.118441161989406,2.009244367044064
5,0.002,0.0024395564352705104,0.0010273821511534607,0.0011900275294002489,2.0151426864710373,2.0011900275294003
