machines,sim_mean_crash_time,sim_std_crash_time,analytic_crash_time,mean_utilization,mean_queue_length
6,387309.76680180756,353561.1559855922,337875.30864095595,0.029891753342173383,5.035578186818263e-5
8,120104.24972348205,104136.25982148231,110206.25000004498,0.03990731452068336,0.00012256374873373713
10,53134.83792354762,36566.03082495147,46539.99999996686,0.050272321442758124,0.00024757420564280186
12,26362.189559942188,20326.04218613208,23142.90123456791,0.058954761669702344,0.0005741724188644931
14,11453.252036884858,10147.402643082312,12882.590587254494,0.07057250100384682,0.0005278462467143282
