metric,simulated,analytic
P(wait),0.88875,0.8526315789473685
Wq,16.73775682573379,8.526315789473687
W,18.807680658268545,10.526315789473687
Lq,15.063981143160412,7.673684210526319
L,16.926912592441692,9.473684210526319
