run,crash_time,utilization,mean_queue_length,mean_healthy
1,14779.741401972753,0.04976047267334408,0.0002759524324649234,12.900203102220829
2,52195.26241963477,0.04956397431219408,0.00017268188146249964,12.900699369494218
3,19289.292156144973,0.04657805965108143,0.00012589004122161,12.906717990656622
4,86744.74213674523,0.04959324792479191,0.0002114488087784782,12.90060205534172
5,38752.27654181985,0.04937864531801432,0.0003099677522209429,12.900932741611756
6,30100.050679383145,0.050090383844312754,0.00020276200253567425,12.899616470308873
7,150583.8359106332,0.05051976151626688,0.00020884589818146322,12.8987516310693
8,46371.98429938789,0.04873805425760573,0.00024262332489545909,12.902281268159907
9,17598.58640443485,0.04725816291898862,8.870933427556459e-5,12.905394964827767
10,57270.02849115631,0.05001401618121896,0.00027034672446711307,12.899701620913095
11,12897.781282185932,0.050264904086199914,0.000184246988467451,12.89928594483912
12,64390.92823680646,0.0499138356351479,0.00021266506307775026,12.899959663666664
13,31194.626658996604,0.04981306162489464,0.00027267272663039757,12.90010120402357
14,40362.50451806583,0.05008705195187907,6.576050395630101e-5,12.899760135592306
15,55059.975259924795,0.05094300830833373,0.0002049978644099396,12.897908985518976
16,29684.091298000418,0.049739971285186806,0.00031598783288510306,12.90020406959671
17,76025.59819050465,0.05108727779431029,0.00021652445418811984,12.897608919957225
18,45660.96407182799,0.05038484267789056,0.00024110748737956713,12.898989207156932
19,4703.073659534739,0.051195997822808495,0.00013021612118379667,12.897477788233184
20,33102.02435501618,0.050062947569614935,0.0003811957818850184,12.899492909078926
21,17044.307074082368,0.04896498359306243,0.00027281110421298663,12.901797221709684
22,106903.0024244709,0.04939573721709886,0.00021825344422082051,12.900990272121614
23,29854.68951672518,0.04811191322841924,0.00015388151641333793,12.903622292026737
24,85700.23170563288,0.05047619347022592,0.00022980389840774,12.898817809161121
25,6053.794270497606,0.055818779238114014,7.26528988818546e-5,12.88828978862488
26,7992.982425287597,0.05032118227996553,0.0002518894028405422,12.899105746037254
27,58737.87080317801,0.05042772054507462,0.00031733326407936124,12.898827225645759
28,20923.774318996173,0.04935260541834272,0.0002571126260465609,12.901037676537268
29,53360.57222200594,0.04984508395901341,0.00014277437365198706,12.900167057708387
30,6785.443654835072,0.04690080784216617,5.868225783226227e-5,12.906139702057844
31,131550.6234396052,0.04991179992989609,0.00025093153165075464,12.899925468608675
32,6320.401849910246,0.051788575084791434,0.0002396551050977567,12.896183194725337
33,116209.52162648155,0.04982295360649598,0.00014752710409231091,12.900206565682915
34,141673.5813598615,0.05102788660067779,0.0002665312977119409,12.897677695500931
35,3173.36280814332,0.048742175560397775,2.8911356351427975e-5,12.902486737522876
36,23865.298499759283,0.05004073482127339,9.598766608298478e-5,12.899822542691382
37,54574.14828321895,0.05169370429264266,0.00020748689456330882,12.89640510452018
38,70515.58462100945,0.05090902562918984,0.0001450247902599561,12.898036923951354
39,18839.265422135177,0.047280338992268654,0.00024965159290991543,12.905189670422532
40,17315.468821321436,0.04971091009058243,0.00020643290183744545,12.900371746916994
